,Unnamed: 0,FID,Id,aspect,Mountain_G,NAME,lungime,latime,x_utm,y_utm,geologie_2,Shape_Leng,Shape_Area,lon,lat,epsg,RG_RW,x,y
40,40,190.0,93.0,3.0,Retezat,Lapusnic1,315.0,273.0,333053.8797,430028.76,7.0,1106.600953,57903.72011,22.8675128126099,45.3499979058624,3844,RG,333053.88057192275,430028.76010949153
41,41,191.0,94.0,2.0,Retezat,Lapusnic4,188.0,320.0,334107.8452,429451.5709,7.0,1008.539403,59464.97603,22.881153009066,45.3450577663229,3844,RG,334107.84607136,429451.5710094929
42,42,192.0,95.0,1.0,Retezat,Lapusnic2,113.0,353.0,333372.7552,429738.0794,7.0,851.00334,28031.49026,22.8716792348308,45.3474595496845,3844,RG,333372.7560717585,429738.07950949937
43,43,193.0,96.0,1.0,Retezat,Galesu,812.0,396.0,336898.1872,433246.4978,7.0,2217.427704,217802.0194,22.9154860748977,45.3798526018263,3844,RG,336898.1880695084,433246.4979088308
44,44,194.0,97.0,7.0,Retezat,Custura2,124.0,819.0,338663.396,431015.8522,4.0,1888.18315,82630.34803,22.9387503318561,45.3601985408803,3844,RG,338663.39686866885,431015.8523089758
45,45,195.0,98.0,1.0,Retezat,Custura1,73.0,828.0,338534.407,430209.7266,4.0,1839.986233,80684.49481,22.9373694895006,45.3529173036332,3844,RG,338534.4078687993,430209.7267090865
46,46,196.0,99.0,7.0,Retezat,Ciomfu_Mic2,145.0,906.0,339490.1994,431319.6802,4.0,2322.677714,124567.1695,22.9492007254914,45.3631225852372,3844,RG,339490.2002681785,431319.6803088891
47,47,197.0,100.0,1.0,Retezat,Ciomfu_Mic1,502.0,286.0,339405.5338,430649.6728,4.0,1315.076727,111246.9577,22.9483394693308,45.357076115092,3844,RG,339405.53466827027,430649.6729089772
48,48,198.0,101.0,8.0,Retezat,Berbecilor,107.0,747.0,334268.6133,431196.2655,7.0,2100.708466,79070.10999,22.8826151525091,45.3607896823875,3844,RG,334268.61417115194,431196.26560925995
49,49,199.0,102.0,3.0,Retezat,Ana_de_Sus,181.0,555.0,332665.8132,430578.5505,7.0,1330.244642,73663.78839,22.8623750612814,45.3548501823271,3844,RG,332665.8140721,430578.55060945573
50,50,200.0,103.0,1.0,Retezat,Ana_de_Jos,473.0,350.0,333113.2923,430488.6859,7.0,1338.5108,109933.9762,22.8681144958377,45.3541491777148,3844,RG,333113.29317185044,430488.6860094274
51,51,201.0,104.0,8.0,Retezat, ,136.0,101.0,331559.7269,430900.4923,7.0,376.1480059,10074.73604,22.8481534133317,45.3574794968752,3844,RG,331559.7277727062,430900.492409491
52,52,202.0,105.0,2.0,Retezat, ,156.0,396.0,331300.0987,431061.2081,7.0,1005.128725,45611.51503,22.8447857764514,45.3588623006475,3844,RG,331300.0995728394,431061.20820949634
53,53,203.0,106.0,1.0,Retezat, ,256.0,203.0,331339.0881,433725.2658,7.0,789.9188332,42019.94166,22.8443679046633,45.3828346640909,3844,RG,331339.08897262847,433725.26590916206
54,54,204.0,107.0,1.0,Retezat, ,192.0,145.0,332565.1104,432048.8695,7.0,539.6078278,18782.24923,22.8605890047006,45.368051471389,3844,RG,332565.1112720523,432048.8696092826
55,55,205.0,108.0,2.0,Retezat, ,142.0,507.0,332267.9413,432334.2508,7.0,1371.782633,51006.32029,22.8566993692746,45.3705469596712,3844,RG,332267.942172204,432334.2509092653
56,56,206.0,109.0,2.0,Retezat, ,187.0,169.0,332186.9451,432826.7436,7.0,695.5448793,31893.62695,22.855497367743,45.3749573924225,3844,RG,332186.9459722151,432826.7437092071
57,57,207.0,110.0,3.0,Retezat, ,301.0,264.0,333417.0232,433169.2183,7.0,919.9456508,46553.67364,22.8710799628804,45.3783333016834,3844,RG,333417.0240714899,433169.21840908506
58,58,208.0,111.0,3.0,Retezat, ,41.0,65.0,334055.9142,432031.5941,7.0,273.8582893,3347.613389,22.8796189423374,45.3682528741884,3844,RG,334055.91507120914,432031.5942091722
59,59,209.0,112.0,3.0,Retezat, ,217.0,208.0,333817.6804,433936.2654,7.0,762.8146179,35202.24994,22.875933863117,45.3853286497261,3844,RG,333817.6812712115,433936.2655089572
60,60,210.0,113.0,3.0,Retezat, ,130.0,183.0,334011.989,434412.8278,7.0,518.1356007,18843.29853,22.8782529249097,45.3896617004024,3844,RG,334011.9898710683,434412.8279088921
61,61,211.0,114.0,1.0,Retezat, ,335.0,695.0,335389.3781,432369.6889,7.0,1974.029532,109567.0758,22.8965220626479,45.3716105198042,3844,RG,335389.3789704307,432369.68900904804
62,62,212.0,115.0,2.0,Retezat, ,388.0,204.0,335109.8741,433620.9902,7.0,1073.521727,47982.12931,22.8925346255518,45.382799982109,3844,RG,335109.87497049686,433620.9903089142
63,63,213.0,116.0,1.0,Retezat, ,805.0,260.0,335080.4575,434253.0674,7.0,2243.296496,161117.6313,22.8919466434981,45.3884786083288,3844,RG,335080.4583704692,434253.06750884117
64,64,214.0,117.0,6.0,Retezat, ,97.0,428.0,335577.6123,433391.6099,7.0,1026.583251,26118.29013,22.8985819082833,45.3808473002044,3844,RG,335577.61317025276,433391.610008911
